rows	columns	distances	method
20x_ACC_Mock	20x_K_Mock	0.067053	perfect
20x_ACC_Mock	20x_PHU_Mock	0.108644	perfect
20x_K_Mock	20x_PHU_Mock	0.112016	perfect
20x_ACC_Mock	20x_PL_Mock	0.149041	perfect
20x_K_Mock	20x_PL_Mock	0.15153	perfect
20x_PHU_Mock	20x_PL_Mock	0.08983	perfect
20x_ACC_Mock	20x_Q5_Mock	0.098927	perfect
20x_K_Mock	20x_Q5_Mock	0.085344	perfect
20x_PHU_Mock	20x_Q5_Mock	0.074221	perfect
20x_PL_Mock	20x_Q5_Mock	0.089777	perfect
20x_ACC_Mock	25x_ACC_Mock	0.056317	perfect
20x_K_Mock	25x_ACC_Mock	0.083036	perfect
20x_PHU_Mock	25x_ACC_Mock	0.087156	perfect
20x_PL_Mock	25x_ACC_Mock	0.118347	perfect
20x_Q5_Mock	25x_ACC_Mock	0.078741	perfect
20x_ACC_Mock	25x_K_Mock	0.091869	perfect
20x_K_Mock	25x_K_Mock	0.085981	perfect
20x_PHU_Mock	25x_K_Mock	0.07722	perfect
20x_PL_Mock	25x_K_Mock	0.093093	perfect
20x_Q5_Mock	25x_K_Mock	0.059517	perfect
25x_ACC_Mock	25x_K_Mock	0.072557	perfect
20x_ACC_Mock	25x_PHU_Mock	0.105096	perfect
20x_K_Mock	25x_PHU_Mock	0.123204	perfect
20x_PHU_Mock	25x_PHU_Mock	0.065751	perfect
20x_PL_Mock	25x_PHU_Mock	0.076794	perfect
20x_Q5_Mock	25x_PHU_Mock	0.072543	perfect
25x_ACC_Mock	25x_PHU_Mock	0.080786	perfect
25x_K_Mock	25x_PHU_Mock	0.070093	perfect
20x_ACC_Mock	25x_PL_Mock	0.112191	perfect
20x_K_Mock	25x_PL_Mock	0.118914	perfect
20x_PHU_Mock	25x_PL_Mock	0.082539	perfect
20x_PL_Mock	25x_PL_Mock	0.073681	perfect
20x_Q5_Mock	25x_PL_Mock	0.07999	perfect
25x_ACC_Mock	25x_PL_Mock	0.093006	perfect
25x_K_Mock	25x_PL_Mock	0.07194	perfect
25x_PHU_Mock	25x_PL_Mock	0.070059	perfect
20x_ACC_Mock	25x_Q5_Mock	0.087229	perfect
20x_K_Mock	25x_Q5_Mock	0.077161	perfect
20x_PHU_Mock	25x_Q5_Mock	0.079653	perfect
20x_PL_Mock	25x_Q5_Mock	0.097237	perfect
20x_Q5_Mock	25x_Q5_Mock	0.056307	perfect
25x_ACC_Mock	25x_Q5_Mock	0.071774	perfect
25x_K_Mock	25x_Q5_Mock	0.065731	perfect
25x_PHU_Mock	25x_Q5_Mock	0.079581	perfect
25x_PL_Mock	25x_Q5_Mock	0.085511	perfect
20x_ACC_Mock	30x_ACC_Mock	0.11292	perfect
20x_K_Mock	30x_ACC_Mock	0.092126	perfect
20x_PHU_Mock	30x_ACC_Mock	0.074543	perfect
20x_PL_Mock	30x_ACC_Mock	0.098004	perfect
20x_Q5_Mock	30x_ACC_Mock	0.073216	perfect
25x_ACC_Mock	30x_ACC_Mock	0.085819	perfect
25x_K_Mock	30x_ACC_Mock	0.065851	perfect
25x_PHU_Mock	30x_ACC_Mock	0.085687	perfect
25x_PL_Mock	30x_ACC_Mock	0.083224	perfect
25x_Q5_Mock	30x_ACC_Mock	0.076324	perfect
20x_ACC_Mock	30x_K_Mock	0.063537	perfect
20x_K_Mock	30x_K_Mock	0.065654	perfect
20x_PHU_Mock	30x_K_Mock	0.080089	perfect
20x_PL_Mock	30x_K_Mock	0.124191	perfect
20x_Q5_Mock	30x_K_Mock	0.069987	perfect
25x_ACC_Mock	30x_K_Mock	0.0684	perfect
25x_K_Mock	30x_K_Mock	0.071271	perfect
25x_PHU_Mock	30x_K_Mock	0.084907	perfect
25x_PL_Mock	30x_K_Mock	0.098583	perfect
25x_Q5_Mock	30x_K_Mock	0.065244	perfect
30x_ACC_Mock	30x_K_Mock	0.090286	perfect
20x_ACC_Mock	30x_PHU_Mock	0.092596	perfect
20x_K_Mock	30x_PHU_Mock	0.094559	perfect
20x_PHU_Mock	30x_PHU_Mock	0.08983	perfect
20x_PL_Mock	30x_PHU_Mock	0.106443	perfect
20x_Q5_Mock	30x_PHU_Mock	0.084321	perfect
25x_ACC_Mock	30x_PHU_Mock	0.083213	perfect
25x_K_Mock	30x_PHU_Mock	0.063483	perfect
25x_PHU_Mock	30x_PHU_Mock	0.082153	perfect
25x_PL_Mock	30x_PHU_Mock	0.072721	perfect
25x_Q5_Mock	30x_PHU_Mock	0.087136	perfect
30x_ACC_Mock	30x_PHU_Mock	0.077039	perfect
30x_K_Mock	30x_PHU_Mock	0.083466	perfect
20x_ACC_Mock	30x_PL_Mock	0.124697	perfect
20x_K_Mock	30x_PL_Mock	0.144986	perfect
20x_PHU_Mock	30x_PL_Mock	0.128173	perfect
20x_PL_Mock	30x_PL_Mock	0.169747	perfect
20x_Q5_Mock	30x_PL_Mock	0.150521	perfect
25x_ACC_Mock	30x_PL_Mock	0.127266	perfect
25x_K_Mock	30x_PL_Mock	0.122057	perfect
25x_PHU_Mock	30x_PL_Mock	0.13001	perfect
