rows	columns	distances
20x_ACC_DA10040	20x_K_DA10001	0.381988
20x_ACC_DA10040	20x_K_DA10040	0.166927
20x_K_DA10001	20x_K_DA10040	0.386314
20x_ACC_DA10040	20x_PHU_DA10001	0.357944
20x_K_DA10001	20x_PHU_DA10001	0.167531
20x_K_DA10040	20x_PHU_DA10001	0.370303
20x_ACC_DA10040	20x_PHU_DA10016	0.675888
20x_K_DA10001	20x_PHU_DA10016	0.590303
20x_K_DA10040	20x_PHU_DA10016	0.674345
20x_PHU_DA10001	20x_PHU_DA10016	0.612394
20x_ACC_DA10040	20x_PHU_DA10029	0.430132
20x_K_DA10001	20x_PHU_DA10029	0.424253
20x_K_DA10040	20x_PHU_DA10029	0.414925
20x_PHU_DA10001	20x_PHU_DA10029	0.423147
20x_PHU_DA10016	20x_PHU_DA10029	0.492844
20x_ACC_DA10040	20x_PHU_DA10040	0.185598
20x_K_DA10001	20x_PHU_DA10040	0.409624
20x_K_DA10040	20x_PHU_DA10040	0.195982
20x_PHU_DA10001	20x_PHU_DA10040	0.368743
20x_PHU_DA10016	20x_PHU_DA10040	0.681056
20x_PHU_DA10029	20x_PHU_DA10040	0.426014
20x_ACC_DA10040	20x_PL_DA10001	0.383684
20x_K_DA10001	20x_PL_DA10001	0.162258
20x_K_DA10040	20x_PL_DA10001	0.389171
20x_PHU_DA10001	20x_PL_DA10001	0.176391
20x_PHU_DA10016	20x_PL_DA10001	0.625518
20x_PHU_DA10029	20x_PL_DA10001	0.435044
20x_PHU_DA10040	20x_PL_DA10001	0.408607
20x_ACC_DA10040	20x_PL_DA10016	0.677003
20x_K_DA10001	20x_PL_DA10016	0.583101
20x_K_DA10040	20x_PL_DA10016	0.675189
20x_PHU_DA10001	20x_PL_DA10016	0.605903
20x_PHU_DA10016	20x_PL_DA10016	0.139498
20x_PHU_DA10029	20x_PL_DA10016	0.492541
20x_PHU_DA10040	20x_PL_DA10016	0.683462
20x_PL_DA10001	20x_PL_DA10016	0.618328
20x_ACC_DA10040	20x_PL_DA10029	0.433234
20x_K_DA10001	20x_PL_DA10029	0.442025
20x_K_DA10040	20x_PL_DA10029	0.42202
20x_PHU_DA10001	20x_PL_DA10029	0.456706
20x_PHU_DA10016	20x_PL_DA10029	0.510616
20x_PHU_DA10029	20x_PL_DA10029	0.143818
20x_PHU_DA10040	20x_PL_DA10029	0.442247
20x_PL_DA10001	20x_PL_DA10029	0.456831
20x_PL_DA10016	20x_PL_DA10029	0.515552
20x_ACC_DA10040	20x_PL_DA10040	0.170929
20x_K_DA10001	20x_PL_DA10040	0.382422
20x_K_DA10040	20x_PL_DA10040	0.190972
20x_PHU_DA10001	20x_PL_DA10040	0.346286
20x_PHU_DA10016	20x_PL_DA10040	0.67969
20x_PHU_DA10029	20x_PL_DA10040	0.419492
20x_PHU_DA10040	20x_PL_DA10040	0.163415
20x_PL_DA10001	20x_PL_DA10040	0.377731
20x_PL_DA10016	20x_PL_DA10040	0.680895
20x_PL_DA10029	20x_PL_DA10040	0.436289
